id,breed
cc8ec46c8c1ff5337ac636a9c21abcc2,papillon
cc93915e06bc55626a02af95006a48c2,irish_setter
cc964d3bf1e317c9fbb0c0d4c8bc6b8f,groenendael
cc97041986abdb8566a3ed4317f40c27,black-and-tan_coonhound
cc99de39a169a9aebaf34d4a514e266b,papillon
cc9b4190a7063f8e92dd21ff25152643,lhasa
cca773094173965bbd04f829eea6eec7,newfoundland
ccb296c8257649527e45affde75d331d,vizsla
ccb75b5d00281575fe98f1d56d23d7a9,shih-tzu
ccbf2d7da8e85a3b60eb0ff8a87af58f,airedale
ccc369e93d792e44329a5f13ae6ae582,great_pyrenees
ccc49b7d2c895b6d6c9ce27845faf622,bull_mastiff
ccc5516a7db6d1d409ed66be35b6deeb,brabancon_griffon
ccced0593b697192b5e5b7f9ded1edfa,keeshond
ccd5d80be42329634437ae59df20bb02,vizsla
ccd804f2bb1d8b97dd6d0ef6c0feb054,walker_hound
ccd907aaac91d10f9a5ad8f9391e0db5,beagle
ccd99c16e1a964e86dc5ee5ba5b2854f,schipperke
ccde54b34bfa24e9fecdc9ad53ff4a37,staffordshire_bullterrier
cce1d5b417e2aa8afade8664a84d4576,collie
cce6c1a924e06dd07bb86d76d6d705d6,bernese_mountain_dog
cceda69318da7cff1dadf98a150d567c,beagle
ccf68bda9760941e198554e32b02025e,basenji
ccf7f33997edc88e2a25ebbbdc825105,sealyham_terrier
cd00a72c75a1cb3a121a032560b47969,french_bulldog
cd047489ca9d316cc15fe8b3c52d3090,english_foxhound
cd0587a34594afd8b79387cf137c66e7,german_short-haired_pointer
cd067bf6b895c629180fdf08f7a0b96e,basenji
cd12c6313e40ab559c00fda493c324d5,malamute
cd147766deb06c9eb2e43a24c0645fc2,curly-coated_retriever
cd17e777cdce3939575a66479ccdc790,french_bulldog
cd19644fa2fcfeee4f92cabe64d3c324,dingo
cd1d661e9023be9095a28ab1d005b502,basenji
cd2365170b2191c7a5df0c9531f2af70,entlebucher
cd2467e4da2dc73c38e6f7bc24b0e6e9,irish_terrier
cd31a52754616411d0484aa309c66b2a,schipperke
cd3c21425c633a2d1c7d0df930245851,walker_hound
cd406cc58c3a6542293a947e017a7bc6,black-and-tan_coonhound
cd40acc3fbfd0ca5a1985eea44d8493b,chow
cd53fc1890f5979b0ed9d2c8b69a93a6,rottweiler
cd5c1f1ec93244a933f377ce42b1b3dd,african_hunting_dog
cd6faa4e0dac0ac5ec7a17d789b2547d,redbone
cd714df1f1977466537bbf2fcbbcf0d9,rottweiler
cd7ad93d62286e4d6ecd2c2c61e0bdaa,scotch_terrier
cd806882f79da1043e04c70888865c7e,italian_greyhound
cd9045d7c082dc4427bfd026d03c0e69,boston_bull
cd9755d122a2b1cba1155e1612923986,lhasa
cd980b3f39d9ae566444c3ebb9096acf,flat-coated_retriever
cd9a0ccbb1b02224208062f3778444ef,toy_poodle
cdb32ac86d0475b5d32667582acaf267,shih-tzu
cdb97461991bf6d92b771a0c83076b69,scottish_deerhound
cdba761dfa000859fb4a89f56730e513,english_springer
cdc52aa70527d1ce57c1483f6a61c482,yorkshire_terrier
cdd066de3fd206038ac23ea487ad8246,keeshond
cdd1ac938055dd3956dd17b17d941716,black-and-tan_coonhound
cdd98aebbc986af83308c15269c14e66,brabancon_griffon
cdee721aacdca2d44cd02200f2e1e62c,scottish_deerhound
cdf01b0e87faf32363ef0c77a67c249a,whippet
cdffff7690054e91eab8e7237df12406,scottish_deerhound
ce0b7b688e294ae5ae0620354c946f0d,saluki
ce101a2ad530221d3fd8b252bc4eb682,dhole
ce125f9866c84532e94bfc1fb7998df8,airedale
ce1921bbb6d6cbe1ec4750a073bf956e,german_shepherd
ce202f5b214ad2646bc52398fdef426b,cairn
ce2255d0df0d65119a0ac484a18d0275,gordon_setter
ce293768d21d78ee39f43642af69a674,leonberg
ce31f66a9991f1f2bb45b84b5a7bd6e7,cardigan
ce3366408fc2cad7559b24f14c074655,pug
ce35256ac863f1a40f62b52dfc107a20,kerry_blue_terrier
ce384b69c955c293c02edb3888c03de0,chesapeake_bay_retriever
ce3f73cdc0a7797ef56afa3745af7985,keeshond
ce4758176f99386df7fde8e2b55fba98,toy_terrier
ce4d01bfae7a2486db3f55813347b095,old_english_sheepdog
ce525c673cc344e8cb8f5a5265689910,norfolk_terrier
ce549a7ebea582dd4ac694d6b1a92c53,rhodesian_ridgeback
ce5e29677c46c613e9831bd801f2d907,irish_water_spaniel
ce616db871b255cd660b2f845e7b75e9,norfolk_terrier
ce7a719bf215d73fcf0d19f554bed5ba,great_pyrenees
ce823aba64bddcca96b7c3c7f8862f36,lakeland_terrier
ce8aafb174173caa826cf76e0469d56f,saint_bernard
ce92370c283c12eb64271cdec81fc1d5,old_english_sheepdog
cea803dc044c609ccab57ec3820bcc16,lakeland_terrier
ceba42b006bf3f03f643d641d253f25d,kerry_blue_terrier
ceca987bff2a3776e5ebc1e2ca54a9da,brabancon_griffon
cecc7ef1ebe7682f38c497bbdcf8b391,japanese_spaniel
cece87e72f771598e2c4d401d41a63e9,brabancon_griffon
ced3ca13937555e20f9193e7c4ff865a,saint_bernard
